01;;;;;"01 Dronningen "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
01;1;;;;"011 Statsydelse "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
01;1;1;;;"0111 Statsydelse "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
01;1;1;01;;"011101 Statsydelse "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
01;1;1;01;10;"01110110 Almindelig virksomhed "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
02;;;;;"02 Medlemmer af det kongelige hus m.fl. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
02;1;;;;"021 Årpenge mv. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
02;1;1;;;"0211 Årpenge mv. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
02;1;1;01;;"021101 Årpenge mv. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
02;1;1;01;10;"02110110 Almindelig virksomhed "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
03;;;;;"03 Folketinget "; 1018,3; 1040,5; 1039,9; 1039,4; 1039,1; 1039,1
03;1;;;;"031 Udgifter ved Folketinget "; 662,6; 677,5; 674,5; 674,3; 674,0; 674,0
03;1;1;;;"0311 Folketinget "; 662,6; 677,5; 674,5; 674,3; 674,0; 674,0
03;1;1;01;;"031101 Folketinget "; 389,7; 407,6; 406,8; 406,6; 406,3; 406,3
03;1;1;01;10;"03110110 Almindelig virksomhed "; 366,2; 374,9; 374,2; 374,3; 374,0; 374,0
03;1;1;01;30;"03110130 Udvalgsarbejde "; 11,2; 16,9; 16,3; 16,3; 16,3; 16,3
03;1;1;01;40;"03110140 Interparlamentariske forsamlinger "; 12,4; 15,8; 16,3; 16,0; 16,0; 16,0
03;1;1;03;;"031103 Folketingets medlemmer "; 264,2; 266,5; 264,0; 264,0; 264,0; 264,0
03;1;1;03;10;"03110310 Folketingsvederlag og boliggodtgørelse "; 131,0; 131,8; 130,5; 130,5; 130,5; 130,5
03;1;1;03;20;"03110320 Befordringsudgifter "; 12,1; 12,2; 11,4; 11,4; 11,4; 11,4
03;1;1;03;30;"03110330 Folketingsgruppestøtte "; 121,2; 122,5; 122,1; 122,1; 122,1; 122,1
03;1;1;05;;"031105 Erhvervelse af medlemsboliger "; 6,5; 0,0; 0,0; 0,0; 0,0; 0,0
03;1;1;05;10;"03110510 Erhvervelse og ombygning af medlemsboliger "; 6,5; 0,0; 0,0; 0,0; 0,0; 0,0
03;1;1;06;;"031106 Medlemsboliger "; 2,2; 3,4; 3,7; 3,7; 3,7; 3,7
03;1;1;06;10;"03110610 Drift af medlemsboliger "; 2,2; 3,4; 3,7; 3,7; 3,7; 3,7
03;2;;;;"032 Folketingets Ombudsmand "; 64,1; 66,0; 69,0; 68,7; 68,7; 68,7
03;2;1;;;"0321 Folketingets Ombudsmand "; 64,1; 66,0; 69,0; 68,7; 68,7; 68,7
03;2;1;01;;"032101 Folketingets Ombudsmand "; 64,1; 66,0; 69,0; 68,7; 68,7; 68,7
03;2;1;01;10;"03210110 Almindelig virksomhed "; 64,1; 66,0; 69,0; 68,7; 68,7; 68,7
03;3;;;;"033 Statsrevisorerne og Rigsrevisionen "; 207,9; 213,4; 212,7; 212,7; 212,7; 212,7
03;3;1;;;"0331 Statsrevisorerne og Rigsrevisionen "; 207,9; 213,4; 212,7; 212,7; 212,7; 212,7
03;3;1;01;;"033101 Statsrevisorerne "; 5,0; 5,2; 5,2; 5,2; 5,2; 5,2
03;3;1;01;10;"03310110 Almindelig virksomhed "; 5,0; 5,2; 5,2; 5,2; 5,2; 5,2
03;3;1;11;;"033111 Rigsrevisionen "; 202,9; 208,2; 207,5; 207,5; 207,5; 207,5
03;3;1;11;10;"03311110 Almindelig virksomhed "; 202,9; 204,2; 203,5; 203,5; 203,5; 203,5
03;3;1;11;90;"03311190 Indtægtsdækket virksomhed "; 0,0; 4,0; 4,0; 4,0; 4,0; 4,0
03;4;;;;"034 Folketingets pensioner "; 83,6; 83,6; 83,7; 83,7; 83,7; 83,7
03;4;1;;;"0341 Folketingets pensioner "; 83,6; 83,6; 83,7; 83,7; 83,7; 83,7
03;4;1;01;;"034101 Folketingets pensioner "; 83,6; 83,6; 83,7; 83,7; 83,7; 83,7
03;4;1;01;10;"03410110 Folketingets medlemspensioner "; 53,8; 53,7; 53,5; 53,5; 53,5; 53,5
03;4;1;01;30;"03410130 Folketingets Administrations pensioner "; 18,2; 18,3; 18,2; 18,2; 18,2; 18,2
03;4;1;01;40;"03410140 Folketingets Ombudsmands pensioner "; 1,3; 1,5; 1,9; 1,9; 1,9; 1,9
03;4;1;01;50;"03410150 Statsrevisorernes pensioner "; 1,1; 1,1; 1,1; 1,1; 1,1; 1,1
03;4;1;01;60;"03410160 Rigsrevisionens pensioner "; 9,1; 9,0; 9,0; 9,0; 9,0; 9,0
05;;;;;"05 Statsministeriet "; 110,6; 110,3; 116,7; 113,8; 113,2; 112,5
05;1;;;;"051 Fællesudgifter "; 110,6; 110,3; 116,7; 113,8; 113,2; 112,5
